peak	gene	distance	peak_type
chr1_3193837_3194119	PRDM16;AL008733.1	0;-60129	distal;distal
chr1_3198409_3199304	PRDM16;AL008733.1	0;-64701	distal;distal
chr1_3204891_3204892	PRDM16;AL008733.1	0;-71183	distal;distal
chr1_3207220_3207688	PRDM16;AL008733.1	0;-73512	distal;distal
chr1_3211357_3212735	PRDM16;AL008733.1	0;-77649	distal;distal
chr1_3215234_3222689	PRDM16;AL008733.1	0;-81526	distal;distal
chr1_3227966_3228739	PRDM16;AL590438.1	0;81357	distal;distal
chr1_3237472_3238998	PRDM16;AL590438.1	0;71098	distal;distal
chr1_3248871_3249312	PRDM16;AL590438.1	0;60784	distal;distal
chr1_3258592_3259335	PRDM16;AL590438.1	0;50761	distal;distal
chr1_3271024_3271123	PRDM16;AL590438.1	0;38973	distal;distal
chr1_3275490_3276475	PRDM16;AL590438.1	0;33621	distal;distal
chr1_3278676_3279752	PRDM16;AL590438.1	0;30344	distal;distal
chr1_3283053_3284743	PRDM16;AL590438.1	0;25353	distal;distal
chr1_3304233_3304765	PRDM16;AL590438.1	0;5331	distal;distal
chr1_3311003_3311433	PRDM16;AL590438.1	0;-908	distal;promoter
chr1_3312918_3315798	PRDM16;AL590438.1;AL354743.2	0;-2823;0	distal;distal;distal
chr1_3319934_3320305	PRDM16;AL354743.2	0;2844	distal;distal
chr1_3322924_3324206	PRDM16;AL354743.2	0;0	distal;promoter
chr1_3329436_3330296	PRDM16;AL354743.2	0;-6288	distal;distal
chr1_3331301_3332371	PRDM16;AL354743.2	0;-8153	distal;distal
chr1_3333663_3335366	PRDM16;AL354743.2	0;-10515	distal;distal
chr1_3345626_3353241	PRDM16;AL354743.1	0;20687	distal;distal
chr1_3356380_3356692	PRDM16;AL354743.1	0;17236	distal;distal
chr1_3357259_3357740	PRDM16;AL354743.1	0;16188	distal;distal
chr1_3360607_3361262	PRDM16;AL354743.1	0;12666	distal;distal
chr1_3365971_3367162	PRDM16;AL354743.1	0;6766	distal;distal
chr1_3369375_3370144	PRDM16;AL354743.1	0;3784	distal;distal
chr1_3373683_3374013	PRDM16;AL354743.1	0;0	distal;promoter
chr1_3393669_3394927	PRDM16;AL354743.1	0;-19742	distal;distal
chr1_3409743_3410760	PRDM16;AL354743.1	0;-35816	distal;distal
chr1_3422395_3425311	ARHGEF16;PRDM16	-29354;0	distal;distal
chr1_3428868_3429382	ARHGEF16;PRDM16	-25283;0	distal;distal
chr1_3431073_3431687	ARHGEF16;PRDM16	-22978;0	distal;distal
chr1_3432293_3432728	ARHGEF16;PRDM16	-21937;0	distal;distal
chr1_3438595_3443065	ARHGEF16;PRDM16	-11600;0	distal;distal
chr1_3443573_3445702	ARHGEF16	-8963	distal
chr1_3452859_3455179	ARHGEF16	0	promoter
chr1_3457400_3458730	ARHGEF16	2736	distal
chr1_3471547_3472292	ARHGEF16	4577	distal
chr1_3473582_3474010	ARHGEF16	6612	distal
chr1_3483631_3484312	AL512413.1	-2934	distal
chr1_3490975_3492131	MEGF6;AL512413.1	0;3730	distal;distal
chr1_3503853_3505361	MEGF6;AL512413.1	0;16608	distal;distal
chr1_3509962_3510423	MEGF6	21025	distal
chr1_3516255_3516278	MEGF6	15170	distal
chr1_3529236_3531995	MEGF6	0	promoter
chr1_3538789_3538802	MEGF6	-7342	distal
chr1_3539705_3540665	MEGF6	-8258	distal
chr1_3542934_3543358	MEGF6	-11487	distal
chr1_3557288_3557753	MEGF6	-25841	distal
chr1_3560335_3561024	MEGF6	-28888	distal
chr1_3564265_3565651	MEGF6	-32818	distal
chr1_3568792_3569208	MEGF6	-37345	distal
chr1_3573524_3573983	MEGF6	37525	distal
chr1_3575985_3576417	MEGF6	35091	distal
chr1_3577194_3577911	MEGF6	33597	distal
chr1_3587514_3587746	MEGF6	23762	distal
chr1_3597991_3599780	MEGF6	11728	distal
chr1_3611344_3611976	MEGF6	0	promoter
chr1_3615438_3615439	MEGF6	-3931	distal
chr1_3618795_3619454	AL513320.1	5289	distal
chr1_3620906_3621615	AL513320.1	3128	distal
chr1_3623668_3625923	TPRG1L;AL513320.1	0;0	promoter;promoter
chr1_3649643_3650409	WRAP73	0	promoter
chr1_3668762_3669288	TP73;AL136528.1	0;0	distal;promoter
chr1_3695375_3696357	TP73	-1701	distal
chr1_3712180_3717928	TP73;AL136528.2	0;0	distal;promoter
chr1_3724188_3724821	TP73;AL136528.2	0;-9891	distal;distal
chr1_3727184_3727910	TP73;AL136528.2	0;-12887	distal;distal
chr1_3730270_3730433	TP73;AL136528.2	0;-15973	distal;distal
chr1_3731176_3732391	TP73;AL136528.2	0;-16879	distal;distal
chr1_3745654_3747778	CCDC27	-4672	distal
chr1_3771907_3776247	SMIM1	0	promoter
chr1_3778920_3779285	LRRC47;AL365330.1	0;-5723	distal;distal
chr1_3795907_3797346	LRRC47	0	promoter
chr1_3801387_3801804	LRRC47	-4890	distal
chr1_3827739_3828189	CEP104	29022	distal
chr1_3856486_3858945	CEP104;DFFB	0;0	promoter;promoter
chr1_3863206_3863971	DFFB	5603	distal
chr1_3892747_3893097	C1orf174	7175	distal
chr1_3899408_3903072	C1orf174;LINC01134	0;0	promoter;promoter
chr1_3910721_3911249	LINC01134	10306	distal
chr1_4108797_4109351	AL805961.1	-89290	distal
chr1_4171465_4171902	AL805961.1	-151958	distal
chr1_4173440_4173442	AL805961.1	-153933	distal
chr1_4394363_4394917	LINC01777	-17134	distal
chr1_4396215_4398788	LINC01777	-13263	distal
chr1_4407864_4408316	LINC01777	-3735	distal
chr1_4430858_4431413	LINC01777	18808	distal
chr1_4447855_4448448	LINC01777	35805	distal
chr1_4485421_4485655	AL355602.1	-1047	distal
chr1_4510606_4510662	AL355602.1	-26232	distal
chr1_4512570_4513188	AL355602.1	-28196	distal
chr1_4527767_4528240	Z98747.1	23905	distal
chr1_4602656_4603847	LINC01646	31109	distal
chr1_4652493_4660239	AJAP1	0	promoter
chr1_4664209_4665367	AJAP1	9478	distal
chr1_4673432_4673962	AJAP1	18701	distal
chr1_4674549_4675114	AJAP1	19818	distal
chr1_4678465_4678582	AJAP1	23734	distal
chr1_4680732_4682218	AJAP1	26001	distal
chr1_4684176_4684262	AJAP1	29445	distal
chr1_4684773_4685295	AJAP1	30042	distal
chr1_4689519_4689991	AJAP1	34788	distal
chr1_4691062_4691328	AJAP1	36331	distal
chr1_4696291_4696683	AJAP1;Z98886.1	0;37062	distal;distal
chr1_4697675_4698242	AJAP1;Z98886.1	0;35503	distal;distal
chr1_4698961_4701594	AJAP1;Z98886.1	0;32151	distal;distal
chr1_4702881_4703257	AJAP1;Z98886.1	0;30488	distal;distal
chr1_4706491_4706606	AJAP1;Z98886.1	0;27139	distal;distal
chr1_4708716_4708720	AJAP1;Z98886.1	0;25025	distal;distal
chr1_4710778_4711988	AJAP1;Z98886.1	0;21757	distal;distal
chr1_4713664_4714065	AJAP1;Z98886.1	0;19680	distal;distal
chr1_4724799_4725219	AJAP1;Z98886.1	0;8526	distal;distal
chr1_4726886_4727328	AJAP1;Z98886.1	0;6417	distal;distal
chr1_4730242_4730283	AJAP1;Z98886.1	0;3462	distal;distal
chr1_4733567_4734857	AJAP1;Z98886.1	0;0	distal;promoter
chr1_4751956_4752535	AJAP1;Z98886.1	0;-18212	distal;distal
chr1_4777928_4778582	AJAP1;Z98886.1	0;-44184	distal;distal
chr1_4801449_4802024	Z98886.1	-67705	distal
chr1_4826108_4826404	Z98886.1	-92364	distal
chr1_4830930_4831000	Z98886.1	-97186	distal
chr1_4935806_4936158	BX005132.1	37140	distal
chr1_5199967_5200491	AL139823.1	106903	distal
chr1_5220731_5221018	AL139823.1	86376	distal
chr1_5223166_5223698	AL139823.1	83696	distal
chr1_5273384_5273742	AL139823.1	33652	distal
chr1_5296458_5298344	AL139823.1	9050	distal
chr1_5408454_5408729	Z98259.2	73299	distal
chr1_5477574_5478141	Z98259.2	3887	distal
chr1_5493722_5494867	Z98259.1;Z98259.3	0;-666	distal;promoter
chr1_5502648_5503188	Z98259.3	-9592	distal
chr1_5509822_5510279	Z98259.3	-16766	distal
chr1_5514502_5514937	Z98259.3	-21446	distal
chr1_5621031_5621335	AL365255.1	46920	distal
chr1_5652385_5653246	AL365255.1	15009	distal
chr1_5661571_5662065	AL365255.1	6190	distal
chr1_5744816_5746430	AL365255.1	-76522	distal
chr1_5752366_5752643	AL365255.1	-84072	distal
chr1_5757251_5757508	AL365255.1	-88957	distal
chr1_5768940_5770008	AL365255.1	-100646	distal
chr1_5771035_5771624	AL365255.1	-102741	distal
chr1_5773849_5774131	AL365255.1	-105555	distal
chr1_5830701_5831118	KCNAB2	-161144	distal
chr1_5883512_5883755	KCNAB2;NPHP4	-108507;0	distal;distal
chr1_5885569_5885762	KCNAB2;NPHP4	-106500;0	distal;distal
chr1_5888744_5888945	KCNAB2;NPHP4	-103317;0	distal;distal
chr1_5895538_5897464	KCNAB2;NPHP4	-94798;0	distal;distal
chr1_5908420_5908831	KCNAB2;NPHP4	-83431;0	distal;distal
chr1_5914942_5916397	KCNAB2;NPHP4	-75865;0	distal;distal
chr1_5929130_5929353	KCNAB2;NPHP4	-62909;0	distal;distal
chr1_5935120_5935631	KCNAB2;NPHP4	-56631;0	distal;distal
chr1_5967334_5967758	KCNAB2;NPHP4	-24504;0	distal;distal
chr1_5973642_5974238	KCNAB2;NPHP4	-18024;0	distal;distal
chr1_5975063_5975823	KCNAB2;NPHP4	-16439;0	distal;distal
chr1_5980355_5980933	KCNAB2;NPHP4	-11329;0	distal;distal
chr1_5985353_5985378	KCNAB2;NPHP4	-6884;0	distal;distal
chr1_5991001_5995119	KCNAB2;NPHP4	0;0	promoter;promoter
chr1_6001634_6002538	KCNAB2	8875	distal
chr1_6007071_6008096	KCNAB2	14312	distal
chr1_6014150_6014926	KCNAB2	-11087	distal
chr1_6016165_6016794	KCNAB2	-9219	distal
chr1_6025172_6026468	KCNAB2	0	promoter
chr1_6027320_6027454	KCNAB2	24	promoter
chr1_6033873_6035589	KCNAB2	0	promoter
chr1_6041436_6041777	KCNAB2	-4144	distal
chr1_6048228_6048531	KCNAB2	2115	distal
chr1_6052900_6053374	KCNAB2	6787	distal
chr1_6058542_6059097	KCNAB2	-6656	distal
chr1_6065068_6065452	KCNAB2	-301	promoter
chr1_6080328_6080980	KCNAB2	14576	distal
chr1_6082331_6083139	KCNAB2	16579	distal
chr1_6083660_6084501	KCNAB2	17908	distal
chr1_6086988_6087412	KCNAB2	21236	distal
chr1_6098569_6098818	KCNAB2	32817	distal
chr1_6099724_6100138	KCNAB2	33972	distal
chr1_6105289_6105507	KCNAB2;CHD5	39537;0	distal;distal
chr1_6127598_6128162	CHD5	52159	distal
chr1_6142963_6142967	CHD5	37354	distal
chr1_6148570_6149124	CHD5	31197	distal
chr1_6157713_6158114	CHD5	22207	distal
chr1_6161582_6161973	CHD5	18348	distal
chr1_6162860_6163151	CHD5	17170	distal
chr1_6164050_6164619	CHD5	15702	distal
chr1_6167643_6167883	CHD5	12438	distal
chr1_6170609_6172142	CHD5	8179	distal
chr1_6179192_6180803	CHD5	0	promoter
chr1_6198967_6200508	RPL22	0	promoter
chr1_6205129_6206506	RNF207;AL031847.1	0;0	promoter;promoter
chr1_6208558_6209909	RNF207	2440	distal
chr1_6235240_6236507	ICMT;LINC00337	0;0	promoter;promoter
chr1_6241942_6242843	HES3	-1336	distal
chr1_6244914_6246037	HES3	736	distal
chr1_6246603_6247145	HES3	2425	distal
chr1_6249178_6249325	GPR153;HES3	0;5000	distal;distal
chr1_6259852_6262179	GPR153	0	promoter
chr1_6267903_6268197	ACOT7;GPR153	0;-6806	distal;distal
chr1_6269976_6270209	ACOT7;GPR153	0;-8879	distal;distal
chr1_6271631_6271858	ACOT7;GPR153	0;-10534	distal;distal
chr1_6272851_6273978	ACOT7;GPR153	0;-11754	distal;distal
