chrom	start	end	gene	distance	peak_type
chr1	1068881	1069680	RNF223	4626	distal
chr1	1074630	1075580	RNF223	-325	promoter
chr1	1079424	1080314	RNF223	-5119	distal
chr1	1098950	1099783	AL390719.3	1366	distal
chr1	1098950	1099783	C1orf159	0	distal
chr1	1115804	1116705	C1orf159	0	promoter
chr1	1121842	1122750	C1orf159	-5745	distal
chr1	1136303	1136894	LINC01342	-123	promoter
chr1	1137025	1137827	LINC01342	9	promoter
chr1	1143877	1144746	LINC01342	6861	distal
chr1	1157382	1157956	AL390719.2	-11401	distal
chr1	1171537	1172446	TTLL10	-1457	distal
chr1	1173399	1174330	TTLL10-AS1	0	distal
chr1	1173399	1174330	TTLL10	0	promoter
chr1	1182517	1183343	TTLL10	2821	distal
chr1	1188821	1189686	TTLL10	9125	distal
chr1	1201054	1201929	TNFRSF18	3751	distal
chr1	1208037	1208684	TNFRSF18	-1446	distal
chr1	1208803	1209299	TNFRSF18	-2212	distal
chr1	1212679	1213404	TNFRSF4	749	distal
chr1	1213539	1214161	TNFRSF4	0	promoter
chr1	1219119	1219998	TNFRSF4	-4967	distal
chr1	1219119	1219998	SDF4	0	distal
chr1	1231667	1232588	B3GALT6	0	promoter
chr1	1231667	1232588	SDF4	0	promoter
chr1	1246401	1247217	C1QTNF12	0	promoter
chr1	1250578	1251426	AL162741.1	0	promoter
chr1	1273475	1274392	UBE2J2	0	promoter
chr1	1291553	1292459	SCNN1D	9445	distal
chr1	1291553	1292459	ACAP3	0	distal
chr1	1305174	1306099	ACAP3	1831	distal
chr1	1307786	1308702	PUSL1	0	promoter
chr1	1307786	1308702	ACAP3	0	promoter
chr1	1315264	1316182	AL139287.1	2507	distal
chr1	1315264	1316182	INTS11	0	distal
chr1	1324320	1325215	INTS11	0	promoter
chr1	1324320	1325215	CPTP	0	promoter
chr1	1337416	1338192	DVL1	0	distal
chr1	1337416	1338192	TAS1R3	6137	distal
chr1	1349052	1350001	DVL1	0	promoter
chr1	1355228	1355829	MXRA8	2706	distal
chr1	1359118	1359862	MXRA8	-325	promoter
chr1	1371311	1371902	AURKAIP1	3255	distal
chr1	1372002	1372359	AURKAIP1	2798	distal
chr1	1374951	1375840	AURKAIP1	0	promoter
chr1	1399011	1399916	CCNL2	0	promoter
chr1	1399011	1399916	MRPL20-AS1	0	promoter
chr1	1406898	1407790	MRPL20	0	promoter
chr1	1419795	1420650	AL391244.1	0	promoter
chr1	1419795	1420650	ANKRD65	0	distal
chr1	1435222	1436116	VWA1	0	promoter
chr1	1440609	1441503	VWA1	4920	distal
chr1	1462140	1463000	ATAD3B	-8765	distal
chr1	1462140	1463000	ATAD3C	0	distal
chr1	1471246	1472142	ATAD3B	0	promoter
chr1	1479409	1480355	ATAD3B	7626	distal
chr1	1504776	1505568	ATAD3A	-6594	distal
chr1	1511564	1512446	ATAD3A	0	promoter
chr1	1528889	1529828	ATAD3A	0	distal
chr1	1528889	1529828	TMEM240	10522	distal
chr1	1532833	1533668	TMEM240	6682	distal
chr1	1532833	1533668	ATAD3A	0	distal
chr1	1540182	1541011	TMEM240	0	promoter
chr1	1574354	1575267	SSU72	0	promoter
chr1	1574354	1575267	AL645728.1	0	distal
chr1	1597161	1597964	FNDC10	2171	distal
chr1	1599462	1600345	FNDC10	0	promoter
chr1	1599462	1600345	AL691432.4	0	promoter
chr1	1606830	1607684	AL691432.4	6517	distal
chr1	1615083	1615889	MIB2	0	promoter
chr1	1615083	1615889	AL691432.2	0	promoter
chr1	1629809	1630671	MMP23B	-1502	distal
chr1	1629809	1630671	MIB2	0	distal
chr1	1639187	1640085	MMP23B	7009	distal
chr1	1639187	1640085	CDK11B	0	distal
chr1	1644486	1645313	CDK11B	0	distal
chr1	1644486	1645313	MMP23B	12308	distal
chr1	1658662	1659575	CDK11B	0	promoter
chr1	1658662	1659575	SLC35E2B	0	distal
chr1	1658662	1659575	FO704657.1	0	promoter
chr1	1662682	1663554	SLC35E2B	0	distal
chr1	1662682	1663554	FO704657.1	3358	distal
chr1	1664962	1665429	SLC35E2B	0	distal
chr1	1664962	1665429	FO704657.1	5638	distal
chr1	1677607	1678502	SLC35E2B	14222	distal
chr1	1678836	1679533	SLC35E2B	13191	distal
chr1	1686107	1686916	SLC35E2B	5808	distal
chr1	1692480	1693396	SLC35E2B	0	promoter
chr1	1694326	1695296	SLC35E2B	-1532	distal
chr1	1696435	1697321	SLC35E2B	-3641	distal
chr1	1703684	1704583	CDK11A	0	distal
chr1	1703684	1704583	SLC35E2B	-10890	distal
chr1	1706027	1706884	SLC35E2B	-13233	distal
chr1	1706027	1706884	CDK11A	0	distal
chr1	1714709	1715628	CDK11A	7203	distal
chr1	1723980	1724887	SLC35E2A	0	distal
chr1	1723980	1724887	CDK11A	0	promoter
chr1	1728323	1729189	SLC35E2A	0	distal
chr1	1728323	1729189	CDK11A	-3967	distal
chr1	1743026	1743934	SLC35E2A	2065	distal
chr1	1745909	1746725	SLC35E2A	0	promoter
chr1	1748602	1749500	SLC35E2A	-2604	distal
chr1	1752768	1753665	NADK	0	distal
chr1	1752768	1753665	SLC35E2A	-6770	distal
chr1	1764015	1764866	NADK	13604	distal
chr1	1775312	1776236	NADK	2234	distal
chr1	1778398	1779170	NADK	0	promoter
chr1	1780000	1780936	NADK	0	promoter
chr1	1782411	1783326	NADK	-2343	distal
chr1	1797782	1798612	NADK	-17714	distal
chr1	1797782	1798612	GNB1	0	distal
chr1	1856931	1857869	GNB1	33218	distal
chr1	1858436	1859247	GNB1	31840	distal
chr1	1869192	1870085	GNB1	21002	distal
chr1	1889797	1890410	GNB1	677	distal
chr1	1890827	1891735	AL109917.1	0	promoter
chr1	1890827	1891735	GNB1	0	promoter
chr1	1899043	1899931	AL109917.1	7573	distal
chr1	1901446	1902337	AL109917.1	9976	distal
chr1	1906011	1906866	CALML6	-8242	distal
chr1	1908753	1909651	CALML6	-5457	distal
chr1	1919013	1919933	TMEM52	0	promoter
chr1	1943681	1944551	CFAP74	0	distal
chr1	1943681	1944551	TMEM52	-24403	distal
chr1	1959771	1960675	CFAP74	0	distal
chr1	1959771	1960675	TMEM52	-40493	distal
chr1	1995935	1996834	CFAP74	7003	distal
chr1	2003334	2004185	CFAP74	0	promoter
chr1	2019078	2019960	GABRD	0	promoter
chr1	2044550	2045460	AL391845.1	4610	distal
chr1	2049877	2050767	AL391845.1	0	promoter
chr1	2091384	2092274	PRKCZ	17923	distal
chr1	2112164	2113068	PRKCZ	0	distal
chr1	2112164	2113068	AL590822.2	32211	distal
chr1	2118277	2119081	PRKCZ	0	distal
chr1	2118277	2119081	AL590822.2	26198	distal
chr1	2126846	2127729	AL590822.2	17550	distal
chr1	2126846	2127729	PRKCZ	0	distal
chr1	2132973	2133905	AL590822.2	11374	distal
chr1	2132973	2133905	PRKCZ	0	distal
chr1	2139525	2140447	AL590822.2	4832	distal
chr1	2139525	2140447	PRKCZ	0	distal
chr1	2142510	2143390	AL590822.2	1889	distal
chr1	2142510	2143390	PRKCZ	0	distal
chr1	2146100	2147029	AL590822.2	-822	promoter
chr1	2146100	2147029	PRKCZ	0	distal
chr1	2148480	2149373	AL590822.2	-3202	distal
chr1	2148480	2149373	PRKCZ	0	distal
chr1	2151015	2151873	AL590822.2	-5737	distal
chr1	2151015	2151873	PRKCZ	0	distal
chr1	2152787	2153662	AL590822.2	-7509	distal
chr1	2152787	2153662	PRKCZ	0	distal
chr1	2161138	2161783	AL590822.2	-15860	distal
chr1	2161138	2161783	PRKCZ	0	distal
chr1	2174013	2174862	PRKCZ-AS1	9013	distal
chr1	2174013	2174862	PRKCZ	0	distal
chr1	2189189	2190077	FAAP20	4695	distal
chr1	2194596	2195430	FAAP20	0	promoter
chr1	2198914	2199826	FAAP20	-4140	distal
chr1	2204698	2205631	AL590822.1	-6892	distal
chr1	2212335	2213252	AL590822.1	0	promoter
chr1	2224047	2224791	SKI	-3528	distal
chr1	2227388	2228304	SKI	-15	promoter
chr1	2229012	2229751	SKI	694	distal
chr1	2230775	2231565	SKI	2457	distal
chr1	2231702	2232536	SKI	3384	distal
chr1	2234158	2235035	SKI	5840	distal
chr1	2237025	2237874	SKI	8707	distal
chr1	2240217	2241052	SKI	11899	distal
chr1	2246378	2247112	SKI	18060	distal
chr1	2255371	2256360	SKI	27053	distal
chr1	2258737	2259566	SKI	30419	distal
chr1	2275918	2276821	AL590822.3	-38219	distal
chr1	2275918	2276821	SKI	0	distal
chr1	2278936	2279808	SKI	0	distal
chr1	2278936	2279808	AL590822.3	-35232	distal
chr1	2290355	2291262	SKI	0	distal
chr1	2290355	2291262	AL590822.3	-23778	distal
chr1	2300753	2301525	SKI	0	distal
chr1	2300753	2301525	AL590822.3	-13515	distal
chr1	2311236	2312129	AL590822.3	-2911	distal
chr1	2314781	2315629	AL590822.3	0	promoter
chr1	2381458	2382362	MORN1	9192	distal
chr1	2391246	2392161	RER1	0	promoter
chr1	2391246	2392161	MORN1	0	promoter
chr1	2412198	2413114	PEX10	0	promoter
chr1	2414104	2415015	PEX10	-1534	distal
chr1	2467116	2467808	PLCH2	0	promoter
chr1	2467925	2468473	PLCH2	467	distal
chr1	2493573	2494431	PLCH2	0	distal
chr1	2493573	2494431	AL139246.4	48	promoter
chr1	2499664	2500539	PLCH2	0	distal
chr1	2499664	2500539	AL139246.4	-5186	distal
chr1	2523543	2524362	PANK4	2234	distal
chr1	2525952	2526828	PANK4	0	promoter
chr1	2540527	2541323	AL139246.5	0	distal
chr1	2540527	2541323	HES5	-10265	distal
chr1	2545855	2546678	AL139246.5	0	distal
chr1	2545855	2546678	TNFRSF14-AS1	5428	distal
chr1	2546807	2547532	AL139246.5	0	distal
chr1	2546807	2547532	TNFRSF14-AS1	4574	distal
chr1	2548443	2549276	TNFRSF14-AS1	2830	distal
chr1	2555541	2556090	TNFRSF14-AS1	0	distal
chr1	2555541	2556090	TNFRSF14	-132	promoter
chr1	2556202	2556827	TNFRSF14-AS1	0	distal
chr1	2556202	2556827	TNFRSF14	0	promoter
chr1	2561710	2562552	TNFRSF14-AS1	-4680	distal
chr1	2561710	2562552	TNFRSF14	0	distal
chr1	2570073	2570956	AL139246.3	-10604	distal
chr1	2578001	2578820	AL139246.3	-2740	distal
chr1	2583790	2584531	AL139246.3	0	distal
chr1	2583790	2584531	PRXL2B	-2219	distal
chr1	2585127	2585862	PRXL2B	-888	promoter
chr1	2586227	2587083	PRXL2B	0	promoter
chr1	2628034	2628897	MMEL1	597	distal
chr1	2642749	2643539	TTC34	0	distal
chr1	2642749	2643539	MMEL1	-9734	distal
chr1	2653811	2654821	MMEL1	-20796	distal
chr1	2653811	2654821	TTC34	0	distal
chr1	2655549	2656468	MMEL1	-22534	distal
chr1	2655549	2656468	TTC34	0	distal
chr1	2683696	2684577	MMEL1	-50681	distal
chr1	2683696	2684577	TTC34	0	distal
chr1	2786358	2787232	TTC34	2433	distal
chr1	2839972	2840875	AL592464.1	-24975	distal
chr1	2894329	2895225	AL589702.1	68190	distal
chr1	2926297	2927082	AL589702.1	36333	distal
chr1	2927215	2927974	AL589702.1	35441	distal
chr1	3032746	3033657	ACTRT2	11280	distal
chr1	3174703	3175275	AL008733.1	-40995	distal
chr1	3174703	3175275	PRDM16	0	distal
chr1	3312935	3313810	PRDM16	0	distal
chr1	3312935	3313810	AL590438.1	-2840	distal
chr1	3312935	3313810	AL354743.2	0	distal
chr1	3316280	3317187	PRDM16	0	distal
chr1	3316280	3317187	AL354743.2	5962	distal
chr1	3452855	3453720	ARHGEF16	-945	promoter
chr1	3454322	3455158	ARHGEF16	0	promoter
chr1	3490969	3491872	AL512413.1	3724	distal
chr1	3490969	3491872	MEGF6	0	distal
chr1	3531002	3531861	MEGF6	0	promoter
chr1	3564947	3565847	MEGF6	-33500	distal
chr1	3588503	3589391	MEGF6	22117	distal
chr1	3597235	3598096	MEGF6	13412	distal
chr1	3611158	3612041	MEGF6	0	promoter
chr1	3618723	3619601	AL513320.1	5142	distal
chr1	3624449	3625356	AL513320.1	0	promoter
chr1	3624449	3625356	TPRG1L	0	promoter
chr1	3649631	3650508	WRAP73	0	promoter
chr1	3665973	3666892	TP73	0	distal
chr1	3665973	3666892	AL136528.1	1880	distal
chr1	3668621	3669504	AL136528.1	0	promoter
chr1	3668621	3669504	TP73	0	distal
chr1	3677213	3678012	TP73	-4354	distal
chr1	3695335	3696231	TP73	-1827	distal
chr1	3724114	3725021	AL136528.2	-9817	distal
chr1	3724114	3725021	TP73	0	distal
chr1	3746935	3747804	CCDC27	-4646	distal
chr1	3772104	3772996	SMIM1	0	promoter
chr1	3775593	3776447	SMIM1	2807	distal
chr1	3793398	3794283	LRRC47	2215	distal
chr1	3796073	3796967	LRRC47	0	promoter
chr1	3801128	3802036	LRRC47	-4631	distal
chr1	3856850	3857769	CEP104	0	promoter
chr1	3856850	3857769	DFFB	0	promoter
chr1	3883212	3884128	DFFB	0	distal
chr1	3883212	3884128	C1orf174	16144	distal
chr1	3889648	3890356	C1orf174	9916	distal
chr1	3890761	3891650	C1orf174	8622	distal
chr1	3900195	3901077	LINC01134	0	promoter
chr1	3900195	3901077	C1orf174	0	promoter
chr1	3910548	3911412	LINC01134	10133	distal
chr1	4007104	4008056	LINC02780	0	distal
chr1	4007104	4008056	AL805961.1	11452	distal
chr1	4027273	4028191	AL805961.1	-7766	distal
chr1	4044707	4045568	AL805961.1	-25200	distal
chr1	4122432	4123400	AL805961.1	-102925	distal
chr1	4637998	4638910	AJAP1	-15699	distal
chr1	4652396	4653242	AJAP1	-1367	distal
chr1	4735932	4736823	AJAP1	0	distal
chr1	4735932	4736823	Z98886.1	-2188	distal
chr1	4796210	4797057	Z98886.1	-62466	distal
chr1	5328917	5329826	AL139823.1	-21524	distal
chr1	5388777	5389679	AL139823.1	-81384	distal
chr1	5422904	5423812	Z98259.2	58216	distal
chr1	5481617	5482505	Z98259.2	0	promoter
chr1	5509563	5510460	Z98259.3	-16507	distal
chr1	5666868	5667730	AL365255.1	525	distal
chr1	5667929	5668692	AL365255.1	0	promoter
chr1	5950847	5951693	KCNAB2	-40569	distal
chr1	5950847	5951693	NPHP4	0	distal
chr1	5975060	5975921	KCNAB2	-16341	distal
chr1	5975060	5975921	NPHP4	0	distal
chr1	5980169	5981055	KCNAB2	-11207	distal
chr1	5980169	5981055	NPHP4	0	distal
chr1	5992062	5992897	KCNAB2	0	promoter
chr1	5992062	5992897	NPHP4	0	promoter
chr1	5994440	5995315	KCNAB2	1681	distal
chr1	6005075	6005978	KCNAB2	12316	distal
chr1	6012697	6013610	KCNAB2	-12403	distal
chr1	6014454	6015308	KCNAB2	-10705	distal
chr1	6025833	6026717	KCNAB2	0	promoter
chr1	6027954	6028834	KCNAB2	658	distal
chr1	6034148	6035050	KCNAB2	0	promoter
chr1	6056218	6057054	KCNAB2	-8699	distal
chr1	6108725	6109549	KCNAB2	42973	distal
chr1	6108725	6109549	CHD5	0	distal
chr1	6122801	6123804	CHD5	56517	distal
chr1	6127459	6128368	CHD5	51953	distal
chr1	6148340	6149216	CHD5	31105	distal
chr1	6199195	6200082	RPL22	0	promoter
chr1	6204935	6205654	AL031847.1	126	distal
chr1	6205778	6206569	RNF207	0	promoter
chr1	6205778	6206569	AL031847.1	0	promoter
chr1	6208835	6209696	RNF207	2717	distal
chr1	6235533	6236429	ICMT	0	promoter
chr1	6235533	6236429	LINC00337	0	promoter
chr1	6244777	6245670	HES3	599	distal
chr1	6246466	6247346	HES3	2288	distal
chr1	6259697	6260598	GPR153	500	distal
chr1	6260884	6261616	GPR153	0	promoter
chr1	6293776	6294493	ACOT7	0	distal
chr1	6293776	6294493	GPR153	-32679	distal
chr1	6294622	6295356	ACOT7	0	distal
chr1	6294622	6295356	GPR153	-33525	distal
chr1	6343164	6344167	ACOT7	15177	distal
chr1	6348466	6349022	ACOT7	10322	distal
chr1	6358530	6359287	ACOT7	57	promoter
chr1	6359503	6360335	ACOT7	-160	promoter
chr1	6364827	6365729	ACOT7	-4121	distal
chr1	6373929	6374752	ACOT7	11061	distal
chr1	6393142	6394024	AL031848.2	0	promoter
chr1	6393142	6394024	ACOT7	0	promoter
chr1	6401411	6402300	ACOT7	-7021	distal
chr1	6404394	6405293	ACOT7	-10004	distal
chr1	6419254	6420132	HES2	0	promoter
chr1	6420481	6421384	HES2	-563	promoter
chr1	6423160	6424035	HES2	635	distal
chr1	6424520	6425360	HES2	0	promoter
chr1	6424520	6425360	ESPN	0	promoter
chr1	6437772	6438675	ESPN	0	distal
chr1	6437772	6438675	AL031848.1	8331	distal
chr1	6440078	6440994	ESPN	0	distal
chr1	6440078	6440994	AL031848.1	6012	distal
chr1	6454755	6455667	ESPN	6713	distal
chr1	6460071	6460917	ESPN	0	distal
chr1	6460071	6460917	TNFRSF25	5190	distal
chr1	6465688	6466473	PLEKHG5	0	distal
chr1	6465688	6466473	TNFRSF25	0	promoter
chr1	6475238	6476143	TNFRSF25	-9044	distal
chr1	6475238	6476143	PLEKHG5	0	distal
chr1	6486214	6487112	PLEKHG5	-261	promoter
chr1	6489812	6490442	PLEKHG5	128	distal
chr1	6490559	6491033	PLEKHG5	0	promoter
chr1	6497089	6498025	PLEKHG5	0	promoter
chr1	6545214	6546133	NOL9	8380	distal
chr1	6554065	6554943	NOL9	0	promoter
chr1	6579515	6580402	TAS1R1	0	distal
chr1	6579515	6580402	ZBTB48	0	promoter
chr1	6581706	6582559	ZBTB48	1713	distal
chr1	6590936	6591844	KLHL21	0	distal
chr1	6590936	6591844	ZBTB48	10943	distal
chr1	6599423	6600229	KLHL21	2640	distal
chr1	6600788	6601695	KLHL21	1174	distal
chr1	6602561	6603402	KLHL21	0	promoter
chr1	6603559	6604192	KLHL21	0	promoter
chr1	6613107	6613972	PHF13	0	promoter
chr1	6613107	6613972	KLHL21	0	distal
chr1	6614633	6615327	PHF13	0	distal
chr1	6614633	6615327	KLHL21	-27	promoter
chr1	6624769	6625640	THAP3	0	promoter
chr1	6634300	6635186	DNAJC11	0	distal
chr1	6634300	6635186	THAP3	9109	distal
chr1	6646195	6647046	DNAJC11	0	distal
chr1	6646195	6647046	THAP3	21004	distal
chr1	6701446	6702345	DNAJC11	0	promoter
chr1	6719757	6720641	LINC01672	-3996	distal
chr1	6727199	6728091	LINC01672	2557	distal
chr1	6743263	6744125	LINC01672	18621	distal
chr1	6744877	6745776	LINC01672	20235	distal
chr1	6751432	6752374	AL591163.1	-15580	distal
chr1	6753206	6754030	AL591163.1	-13924	distal
chr1	6770773	6771630	AL591163.1	2820	distal
chr1	6784780	6785579	CAMTA1-DT	0	promoter
chr1	6784780	6785579	CAMTA1	0	promoter
chr1	6800550	6801291	CAMTA1	15033	distal
chr1	6962208	6962980	CAMTA1	0	distal
chr1	6962208	6962980	AL512330.1	51299	distal
chr1	7667256	7668154	AL359881.3	26690	distal
chr1	7667256	7668154	CAMTA1	0	distal
chr1	7669214	7670113	CAMTA1	0	distal
chr1	7669214	7670113	AL359881.3	24731	distal
chr1	7680064	7680947	AL359881.3	13897	distal
chr1	7680064	7680947	CAMTA1	0	distal
chr1	7704185	7705075	AL359881.1	-3216	distal
chr1	7704185	7705075	CAMTA1	0	distal
chr1	7726360	7727066	CAMTA1	-17895	distal
chr1	7728649	7729409	CAMTA1	-15552	distal
chr1	7752580	7753465	CAMTA1	7620	distal
chr1	7770838	7771740	VAMP3	0	promoter
chr1	7781585	7782401	PER3	-1919	distal
chr1	7783629	7784542	PER3	0	promoter
chr1	7826917	7827829	Z98884.1	0	promoter
chr1	7826917	7827829	PER3	0	distal
chr1	7856029	7856988	UTS2	-2518	distal
chr1	7902474	7903348	TNFRSF9	37518	distal
chr1	7915575	7916446	TNFRSF9	24420	distal
chr1	7929431	7930225	TNFRSF9	10641	distal
chr1	7930727	7931593	TNFRSF9	9273	distal
chr1	7942127	7943039	TNFRSF9	126	distal
chr1	7948784	7949624	TNFRSF9	-5620	distal
chr1	7953748	7954677	PARK7	-7015	distal
chr1	7961142	7962047	PARK7	0	promoter
chr1	7974947	7975827	PARK7	12979	distal
chr1	7981939	7982879	AL034417.4	-8255	distal
chr1	7981939	7982879	PARK7	0	distal
chr1	7993763	7994531	AL034417.4	2630	distal
chr1	8004724	8005648	AL034417.4	0	distal
chr1	8004724	8005648	AL034417.3	-4791	distal
chr1	8004724	8005648	ERRFI1	0	distal
chr1	8014724	8015586	ERRFI1	47	promoter
chr1	8025896	8026798	AL034417.2	0	promoter
chr1	8025896	8026798	ERRFI1	0	promoter
chr1	8096617	8097167	AL034417.2	69880	distal
chr1	8097273	8097846	AL034417.2	70536	distal
chr1	8104339	8105244	AL034417.2	77602	distal
chr1	8106532	8107440	AL034417.2	79795	distal
chr1	8113169	8113940	AL034417.2	86432	distal
chr1	8120847	8121664	AL034417.2	0	distal
chr1	8120847	8121664	LINC01714	-79854	distal
chr1	8126860	8127782	LINC01714	-73736	distal
chr1	8141285	8142216	LINC01714	-59302	distal
chr1	8145478	8146386	LINC01714	-55132	distal
chr1	8149441	8150320	LINC01714	-51198	distal
chr1	8152572	8153326	LINC01714	-48192	distal
chr1	8167012	8167873	LINC01714	-33645	distal
chr1	8169456	8170369	LINC01714	-31149	distal
chr1	8182192	8183097	LINC01714	-18421	distal
chr1	8204106	8204931	LINC01714	2589	distal
chr1	8211449	8212320	LINC01714	2778	distal
chr1	8216968	8217863	AL358876.2	2666	distal
chr1	8218498	8219338	AL358876.2	1191	distal
chr1	8224606	8225536	AL358876.2	-4078	distal
chr1	8238680	8239397	AL358876.2	-18152	distal
chr1	8267881	8268447	AL358876.2	-47353	distal
chr1	8314061	8314973	SLC45A1	-2853	distal
chr1	8317749	8318591	SLC45A1	0	promoter
chr1	8348706	8349597	SLC45A1	24377	distal
chr1	8351475	8352250	SLC45A1	27146	distal
chr1	8382668	8383578	RERE	40088	distal
chr1	8387762	8388643	RERE	35023	distal
chr1	8395185	8396095	RERE	27571	distal
chr1	8397063	8397831	RERE	25835	distal
chr1	8407478	8408386	RERE	15280	distal
chr1	8408965	8409808	RERE	13858	distal
chr1	8423369	8424156	RERE	0	promoter
chr1	8424303	8425014	RERE-AS1	-386	promoter
chr1	8424303	8425014	RERE	0	distal
chr1	8427315	8428177	RERE	0	distal
chr1	8427315	8428177	RERE-AS1	1916	distal
chr1	8430688	8431510	RERE	0	distal
chr1	8430688	8431510	RERE-AS1	5289	distal
chr1	8438659	8439548	RERE	0	distal
chr1	8438659	8439548	RERE-AS1	13260	distal
chr1	8443401	8444355	RERE	0	distal
chr1	8443401	8444355	RERE-AS1	18002	distal
chr1	8448652	8449577	RERE-AS1	23253	distal
chr1	8448652	8449577	RERE	0	distal
chr1	8457590	8458426	RERE	0	distal
chr1	8457590	8458426	RERE-AS1	32191	distal
chr1	8463041	8463796	RERE	0	distal
chr1	8463041	8463796	RERE-AS1	37642	distal
chr1	8472376	8473256	RERE	0	distal
chr1	8472376	8473256	RERE-AS1	46977	distal
chr1	8473586	8474225	RERE	0	distal
chr1	8473586	8474225	RERE-AS1	48187	distal
chr1	8475801	8476693	RERE	49246	distal
chr1	8496058	8496960	RERE	28979	distal
chr1	8497254	8498123	RERE	27816	distal
chr1	8509872	8510788	RERE	15151	distal
chr1	8516555	8517427	RERE	8512	distal
chr1	8517640	8518528	RERE	7411	distal
chr1	8523365	8524206	RERE	1733	distal
chr1	8525559	8526421	RERE	0	promoter
chr1	8532887	8533752	RERE	-6949	distal
chr1	8560780	8561676	RERE	-34842	distal
chr1	8623417	8624310	RERE	32061	distal
chr1	8625208	8626146	RERE	30225	distal
chr1	8629434	8630305	RERE	26066	distal
chr1	8643301	8644176	RERE	12195	distal
chr1	8646225	8647099	RERE	9272	distal
chr1	8650870	8651673	RERE	4698	distal
chr1	8660197	8661107	RERE	-3827	distal
chr1	8663782	8664677	RERE	-7412	distal
chr1	8700985	8701909	RERE	-44615	distal
chr1	8702926	8703842	RERE	-46556	distal
chr1	8712448	8713347	RERE	-56078	distal
chr1	8726227	8727159	RERE	-69857	distal
chr1	8817326	8818233	RERE	0	promoter
chr1	8829242	8830134	RERE	-11603	distal
chr1	8848637	8849522	ENO1	29164	distal
chr1	8859128	8860021	ENO1	18665	distal
chr1	8862286	8863146	ENO1	15540	distal
chr1	8870953	8871770	ENO1	6916	distal
chr1	8873341	8874221	ENO1	4465	distal
chr1	8878449	8879296	ENO1-AS1	0	promoter
chr1	8878449	8879296	ENO1	0	promoter
chr1	8889678	8890542	ENO1-AS1	10844	distal
chr1	8891528	8892481	ENO1-AS1	12694	distal
chr1	8899612	8900501	ENO1-AS1	20778	distal
chr1	8908056	8908954	ENO1-AS1	29222	distal
chr1	8917856	8918738	CA6	-27130	distal
chr1	8938160	8939018	CA6	-6850	distal
chr1	8946262	8947131	CA6	376	distal
chr1	8962573	8963460	CA6	16687	distal
chr1	8970753	8971666	CA6	24867	distal
chr1	8986478	8987241	SLC2A7	39104	distal
chr1	8987754	8988640	SLC2A7	37705	distal
chr1	9004816	9005666	SLC2A7	20679	distal
chr1	9007492	9008538	SLC2A7	17807	distal
chr1	9009651	9010411	SLC2A7	15934	distal
chr1	9010926	9011676	SLC2A7	14669	distal
chr1	9066905	9067815	SLC2A5	1789	distal
chr1	9069290	9070195	SLC2A5	0	promoter
chr1	9074694	9075565	SLC2A5	-5060	distal
chr1	9076046	9076844	SLC2A5	-6412	distal
chr1	9077893	9078481	SLC2A5	-8259	distal
chr1	9078600	9079459	SLC2A5	-8966	distal
chr1	9082967	9083856	SLC2A5	-13333	distal
chr1	9093521	9094388	SLC2A5	-23887	distal
chr1	9101275	9102169	GPR157	26933	distal
